"appId","title","abstract","origin","background","citedBy","citations","filingDate"
"US464750A","Button-hole-scissors gage  - Google Patents","Disclosed is a process for oxidizing formaldehyde to carbon dioxide and water without the addition of energy. A mixture of formaldehyde and an oxidizing agent (e.g., ambient air containing formaldehyde) is exposed to a catalyst which includes a noble metal dispersed on a metal oxide which possesses more than one oxidation state. Especially good results are obtained when the noble metal is platinum, and the metal oxide which possesses more than one oxidation state is tin oxide. A promoter (i.e., a small amount of an oxide of a transition series metal) may be used in association with the tin oxide to provide very beneficial results.
  ","(No Model.) A. I. CAMPBELL. ","No. 464,750. Patented Dec.8,1891. ","4","0","1891-12-08"
"US5585083A","Catalytic process for formaldehyde oxidation","Controlled molecular weight imide oligomers and co-oligomers containing pendent phenylethynyl groups (PEPIs) and endcapped with nonreactive or phenylethynyl groups have been prepared by the cyclodehydration of the precursor amide acid oligomers or co-oligomers containing pendent phenylethynyl groups and endcapped with nonreactive or phenylethynyl groups. The amine terminated amide acid oligomers or co-oligomers are prepared from the reaction of dianhydride(s) with an excess of diamine(s) and diamine containing pendent phenylethynyl groups and subsequently endcapped with a phenylethynyl phthalic anhydride or monofunctional anhydride. The anhydride terminated amide acid oligomers and co-oligomers are prepared from the reaction of diamine(s) and diamine containing pendent phenylethynyl group(s) with an excess of dianhydride(s) and subsequently endcapped with a phenylethynyl amine or monofunctional amine. The polymerizations are carried out in polar aprotic solvents such as under nitrogen at room temperature. The amide acid oligomers or co-oligomers are subsequently cyclodehydrated to the corresponding imide oligomers. The polymers and copolymers prepared from these materials exhibit a unique and unexpected combination of properties.
  ","The invention described herein was jointly made by employees of the United States Government, contract employees during the performance of work under a NASA contract which is subject to the provisions of Public Law 95-517 (35 USC 202) in which the contractor has elected not to retain title, and an employee of Rochester Gas and Electric Corporation during the performance of work under a Memorandum of Agreement.","This invention relates generally to oxidizing formaldehyde. It relates particularly to a process for oxidizing formaldehyde to carbon dioxide and water, which process includes exposing a gaseous mixture containing formaldehyde and an oxidizing agent to a catalyst of a noble metal dispersed on a metal oxide possessing more than one stable oxidation state.","30","7","1995-03-30"
"US5606014A","Imide oligomers and co-oligomers containing pendent phenylethynyl groups and polymers therefrom","Non-invasive measuring devices responsive to changes in a patient's intracranial pressure (ICP) can be accurately calibrated for monitoring purposes by providing known changes in ICP by non-invasive methods, such as placing the patient on a tilting bed and calculating a change in ICP from the tilt angle and the length of the patient's cerebrospinal column, or by placing a pressurized skull cap on the patient and measuring the inflation pressure. Absolute values for the patient's pressure-volume index (PVI) and the steady state ICP can then be determined by inducing two known changes in the volume of cerebrospinal fluid while recording the corresponding changes in ICP by means of the calibrated measuring device. The two pairs of data for pressure change and volume change are entered into an equation developed from an equation describing the relationship between ICP and cerebrospinal fluid volume. PVI and steady state ICP are then determined by solving the equation. Methods for inducing known changes in cerebrospinal fluid volume are described.
  ","This invention described herein was made by employees of the United States Government and may be manufactured and used by or for the Government or government purposes without payment of any royalties therein or thereof.","The synthesis and characterization of PI has been extensively studied and documented. Reviews on PI are available. [J. W. Verbicky, Jr., ""Polyimides"" in Encyclopedia of Polymer Science and Engineering, 2nd Ed., John Wiley and Sons, New York, Vol. 12, 364 (1988); C. E. Sroog, Prog. Polym. Sci., 16, 591 (1991)].","20","3","1995-08-04"
"US5617873A","Non-invasive method and apparatus for monitoring intracranial pressure and pressure volume index in humans","A method for forming ferroelectric wafers is provided. A prestress layer is placed on the desired mold. A ferroelectric wafer is placed on top of the prestress layer. The layers are heated and then cooled, causing the ferroelectric wafer to become prestressed. The prestress layer may include reinforcing material and the ferroelectric wafer may include electrodes or electrode layers may be placed on either side of the ferroelectric layer. Wafers produced using this method have greatly improved output motion.
  ","The invention described herein was made in the performance of work done by employees of the U.S. Government and may be manufactured and used by or for the government for governmental purposes without the payment of any royalties thereon or therefor.","1. Field of The invention","59","17","1994-08-25"
"US5632841A","Thin layer composite unimorph ferroelectric driver and sensor","A quasi four-level solid-state laser is provided. A laser crystal is disposed in a laser cavity. The laser crystal has a LuAG-based host material doped to a final concentration between about 2% and about 7% thulium (Tm) ions. For the more heavily doped final concentrations, the LuAG-based host material is a LuAG seed crystal doped with a small concentration of Tm ions. Laser diode arrays are disposed transversely to the laser crystal for energizing the Tm ions.
  ","The invention described herein was made by employees of the United States Government and may be used by and for the Government for governmental purposes without the payment of any royalties thereon or therefor.","The present invention relates generally to ferroelectric devices, and more particularly to ferroelectric devices providing large mechanical output displacements.","140","2","1995-04-04"
"US5640408A","Quasi four-level Tm:LuAG laser","A device and method for detecting optimum protein crystallization conditions and for growing protein crystals in either 1g or microgravity environments comprising a housing defining at least one pair of chambers for containing crystallization solutions. The housing further defines an orifice therein for providing fluid communication between the chambers. The orifice is adapted to receive a tube which contains a gelling substance for limiting the rate of diffusive mixing of the crystallization solutions. The solutions are diffusively mixed over a period of time defined by the quantity of gelling substance sufficient to achieve equilibration and to substantially reduce density driven convection disturbances therein.
    The device further includes endcaps to seal the first and second chambers. One of the endcaps includes a dialysis chamber which contains protein solution in which protein crystals are grown. Once the endcaps are in place, the protein solution is exposed to the crystallization solutions wherein the solubility of the protein solution is reduced at a rate responsive to the rate of diffusive mixing of the crystallization solutions. This allows for a controlled approach to supersaturation and allows for screening of crystal growth conditions at preselected intervals.
  ","This invention was made with Government support under contract NAS1-19603 awarded by NASA. The Government has certain rights in this invention.","The invention relates generally to lasers, and more particularly to quasi four-level lasers operating at room temperature in the 2 μm wavelength region.","8","1","1996-01-29"
"US5641681A","Device and method for screening crystallization conditions in solution crystal growth","Controlled molecular weight imide oligomers and co-oligomers containing pendent phenylethynyl groups (PEPIs) and endcapped with nonreactive or phenylethynyl groups have been prepared by the cyclodehydration of the precursor amide acid oligomers or co-oligomers containing pendent phenylethynyl groups and endcapped with nonreactive or phenylethynyl groups. The amine terminated amide acid oligomers or co-oligomers are prepared from the reaction of dianhydride(s) with an excess of diamine(s) and diamine containing pendent phenylethynyl groups and subsequently endcapped with a phenylethynyl phthalic anhydride or monofunctional anhydride. The anhydride terminated amide acid oligomers and co-oligomers are prepared from the reaction of diamine(s) and diamine containing pendent phenylethynyl group(s) with an excess of dianhydride(s) and subsequently endcapped with a phenylethynyl amine or monofunctional amine. The polymerizations are carried out in polar aprotic solvents such as N-methyl-2-pyrrolidinone and N,N-dimethylacetamide under nitrogen at room temperature. The amide acid oligomers or co-oligomers are subsequently cyclodehydrated either thermally or chemically to the corresponding imide oligomers. The polymers and copolymers prepared from these materials exhibit a unique and unexpected combination of properties that includes higher glass transition temperatures after curing and higher retention of neat resin, adhesive and carbon fiber reinforced mechanical properties at temperatures up to 204° C. under wet conditions without sacrificing melt flow behavior and processability as compared to similar materials. These materials are useful as adhesives, coatings, films, moldings and composite matrices.
  ","The present invention was made by an employee of the United States Government and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties.","The determination of the three dimensional atomic structure of matter is one of the most important areas of pure and applied research. This field, known as X-ray crystallography, utilizes the diffraction of X-rays from crystals in order to determine the precise arrangement of atoms within the crystal. The result may reveal the atomic structure of substances as varied as metal alloys to the structure of deoxyribonucleic acid (DNA). Some of the greatest discoveries in the history of science have been made by crystallographers. The limiting step in all of these areas of research involves the growth of a suitable crystalline sample.","47","9","1995-04-17"
"US5689004A","Diamines containing pendent phenylethynyl groups","A method and apparatus for evaluating low differential pressure transducers includes a pressure generator in the form of a piston-cylinder assembly having a piston that may be manually positioned precisely within the cylinder to change the volume and thus the pressure at respective sides of the piston. At one side of the piston the cylinder communicates with a first chamber and at the other side of the piston the cylinder communicates with a second chamber, the first and second chambers being formed within a common tank by a partition wall. The chambers each communicate with the transducer to be evaluated and a standard pre-calibrated transducer, the transducers being connected fluidly in parallel so that a pressure differential between air in the two chambers resulting from movement of the piston within the cylinder is communicated to both the transducer to be evaluated and the standard transducer, and the outputs of the transducers is observed and recorded.
  ","This invention described herein was made by employees of the United States Government and may be manufactured and used by or for the Government or government purposes without payment of any royalties therein or thereof.","Polyimides (PI) are heterocyclic polymers commonly prepared by the condensation reaction of an aromatic diamine with an aromatic dianhydride or derivative thereof and having a repeat unit of the general structure ##STR1## where Ar is a tetravalent aromatic radical such as 1,2,4,5-tetrasubstituted benzene. Ar may also be a bis(o-diphenylene) having the general structure ##STR2## where Y=nil, O, S, SO2, CO, C(CH3)2, or any other appropriate divalent radical. Ar' is a divalent aromatic radical which may be 1,3-phenylene, 1,4-phenylene, 4,4'-biphenylene, 4,4'-oxydiphenylene, 4,4'-sulfonyldiphenylene, or any other appropriate divalent radical.","10","1","1995-08-04"
"US5693871A","Low differential pressure generator","The autogenic-feedback training exercise (AFTE) method of the present invention is a combined application of physiologic and perceptual training techniques, such as autogenic therapy and biofeedback. This combined therapy approach produces a methodology that is appreciably more effective than either of the individual techniques used separately. The AFTE method enables sufficient magnitude of control necessary to significantly reduce the behavioral and physiologic reactions to severe environmental stressors. It produces learned effects that are persistent over time and are resistant to extinction and it can be administered in a short period of time. The AFTE method may be used efficiently in several applications, among which are the following: to improve pilot and crew performance during emergency flying conditions; to train people to prevent the occurrence of nausea and vomiting associated with motion and sea sickness, or morning sickness in early pregnancy; as a training method for preventing or counteracting air-sickness symptoms in high-performance military aircraft; for use as a method for cardiovascular training, as well as for multiple other autonomic responses, which may contribute to the alleviaton of space motion sickness (SMS) in astronauts and cosmonauts; training people suffering from migraine or tension headaches to control peripheral blood flow and reduce forehead and/or trapezius muscle tension; training elderly people suffering from fecal incontinence to control their sphincter muscles; training cancer patients to reduce the nauseagenic effects of chemotherapy; and training patients with chronic intestinal pseudo-obstruction (CIP).
  ","The invention described herein was made in the performance of work under National Aeronautics and Space Administration contract and is subject to the provisions of Public Law 96-517 (35 USC 202).","A low differential pressure between two areas such as the pressure differential between two chambers or rooms is required for certain industrial and test facilities, including semi-conductor manufacturing facilities and spacecraft processing ""clean"" rooms. For example, a small or low pressure differential should be maintained between clean room areas and adjacent areas which do not have to be maintained under such clean conditions. By maintaining a slight positive pressure in the clean room relative to-the adjacent areas, contaminated air will not flow from these non-clean areas into the clean room area. Under such circumstances the only source of air supplied into the clean room is controlled air flowing through the air conditioning filtration systems feeding the room.","19","11","1996-07-12"
"US5694939A","Autogenic-feedback training exercise (AFTE) method and system","A system for detecting ultrasonic vibrations, such as those generated by a small leak in a pressurized container, vessel, pipe, or the like, comprises an ultrasonic transducer assembly and a processing circuit for converting transducer signals into an audio frequency range signal. The audio frequency range signal can be used to drive a pair of headphones worn by an operator. A diode rectifier based mixing circuit provides a simple, inexpensive way to mix the transducer signal with a square wave signal generated by an oscillator, and thereby generate the audio frequency signal. The sensitivity of the system is greatly increased through proper selection and matching of the system components, and the use of noise rejection filters and elements. In addition, a parabolic collecting horn is preferably employed which is mounted on the transducer assembly housing. The collecting horn increases sensitivity of the system by amplifying the received signals, and provides directionality which facilitates easier location of an ultrasonic vibration source.
  ","The invention described herein was made by an employee of the United States Government and may be manufactured and used by or for the Government for governmental purposes without payment of any royalties thereon or therefor.","The present invention generally relates to a multi-parameter physiological conditioning method and apparatus, and particularly to an autogenic-feedback training exercise method for training people to gain better control of specific physiological responses. More particularly, the present invention combines two self-regulatory techniques, biofeedback and autogenic exercises, and permits subjects to voluntarily control several of their own autonomic responses simultaneously.","96","8","1995-10-03"
